"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*03ce6*","Ego Ferguson","(N/A)","DL","2825","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04yqf*","Jaylon Ferguson","BAL","LB","2826","FA","27","Bye","500,000","1st","0","10","0%","0","0","0","0"
"*04oq7*","Jerod Fernandez","(N/A)","LB","2831","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03zz1*","Drew Ferris","(N/A)","LB","2833","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jlg*","Jason Ferris","(N/A)","LB","2834","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04owu*","Bryon Fields Jr.","(N/A)","DB","2836","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*06187*","DaMarcus Fields","NO/WAS","DB","2837","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","0","14","0%","2","0","0","0"
"*0507f*","Mark Fields","(N/A)","DB","2838","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04oye*","Sharif Finch","NO","LB","2840","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jh1*","Romeo Finley","(N/A)","LB","2842","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*001wz*","Cortland Finnegan","(N/A)","DB","2844","FA","39","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rtb*","Paddy Fisher","(N/A)","LB","2845","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061h6*","Tucker Fisk","ATL","TE,DL","2846","FA","24","TB 17<br/>@ATL 30 F","500,000","1st","0","14","0%","0","0","0","0"
"*04oi7*","Kylie Fitts","ARI","LB","2847","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","0","13","0%","0","0","0","0"
"*04p14*","Connor Flagel","(N/A)","DL","2853","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cpg*","Ladell Fleming","(N/A)","LB","2857","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cmh*","Maurice Fleming","(N/A)","DB","2859","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03cii*","Marquis Flowers","(N/A)","LB","2861","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jjy*","Reggie Floyd","(N/A)","DB","2865","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02zsd*","Sharrif Floyd","(N/A)","DL","2866","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04gx1*","Tevin Floyd","(N/A)","LB","2867","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*050d7*","Juwan Foggie","(N/A)","LB","2870","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0500q*","James Folston","(N/A)","DL,LB","2871","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03cd7*","Dee Ford","SF","DL","2873","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0612v*","Jonathan Ford","GB","DL","2876","FA","23","DET 20<br/>@GB 16 F","500,000","1st","0","14","0%","0","0","0","0"
"*05rv7*","Paris Ford","(N/A)","DB","2878","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04iwe*","Malik Foreman","(N/A)","DB","2881","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040j4*","Josh Forrest","(N/A)","LB","2882","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03cgb*","Khairi Fortt","(N/A)","LB","2886","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05nf7*","Evan Foster","(N/A)","DB","2888","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*026v7*","Mason Foster","(N/A)","LB","2889","FA","34","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04car*","Reuben Foster","(N/A)","LB","2890","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*030b6*","A.J. Francis","(N/A)","DL","2897","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0613l*","Jacobi Francis","HOU","DB","1545","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","0","6","0%","0","0","0","0"
"*06173*","Benjie Franklin","GB","DB","2898","FA","26","DET 20<br/>@GB 16 F","500,000","1st","0","14","0%","0","0","0","0"
"*04cpu*","Zach Franklin","(N/A)","DB","2902","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ojt*","Joshua Frazier","(N/A)","DL","2905","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040jl*","Kavon Frazier","(N/A)","DB","2906","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04mpe*","Marcell Frazier","(N/A)","DL","2907","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04p18*","KeShun Freeman","(N/A)","LB","2911","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02a9g*","Jonathan Freeny","(N/A)","LB","2912","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040vc*","Christian French","(N/A)","DL","2913","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04306*","Nolan Frese","(N/A)","DL","2914","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04omd*","Chris Frey","(N/A)","LB","2915","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ovq*","Alani Fua","(N/A)","LB","2919","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061dg*","Travon Fuller","(N/A)","DB","2925","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jnn*","Kendall Futrell","CIN","DL","2931","FA","25","Bye","500,000","1st","0","10","0%","0","0","0","0"
"*026zi*","Andrew Gachkar","(N/A)","LB","2934","FA","34","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04oy6*","Rico Gafford","GB","DB","2936","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03chz*","E.J. Gaines","(N/A)","DB","2937","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05r48*","Innis Gaines","GB","DB","1347","FA","24","DET 20<br/>@GB 16 F","500,000","1st","0","14","0%","1","0","0","0"
"*03cf7*","Phillip Gaines","(N/A)","DB","2938","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040td*","Rohan Gaines","(N/A)","DB","2939","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04d63*","Matt Galambos","(N/A)","LB","2941","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*01tyg*","Junior Galette","(N/A)","LB","2942","FA","35","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05waf*","Blake Gallagher","(N/A)","LB","2943","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cn1*","Ironhead Gallon","(N/A)","DB","2945","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cqn*","Patrick Gamble","(N/A)","DL","2946","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*044xe*","Jack Gangwish","(N/A)","DL","2949","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05049*","Malik Gant","(N/A)","DB","2950","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040m8*","Jake Ganus","(N/A)","LB","2951","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061bw*","Elijah Garcia","LAR/DEN","DL","1546","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","0","9","0%","0","0","0","0"
"*0506g*","Jamell Garcia-Williams","(N/A)","LB","2953","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04d0b*","Jerrol Garcia-Williams","(N/A)","LB","2954","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061gr*","Don Gardner","TB","DB","2956","FA","25","TB 17<br/>@ATL 30 F","500,000","1st","0","11","0%","1","0","0","0"
"*0615i*","Ferrod Gardner","WAS","LB,DB","2957","FA","26","DAL 6<br/>@WAS 26 F","500,000","9th","0","","0%","0","0","0","0"
"*05jw4*","Cale Garrett","(N/A)","LB","2961","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rwh*","Chris Garrett","MIN","DL,LB","2962","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","0","11","0%","0","0","0","0"
"*05rzp*","Chris Garrett","(N/A)","DL","2963","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*060rt*","Haskell Garrett","(N/A)","DL","2964","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*030cn*","Terence Garvin","(N/A)","LB","2966","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04p47*","DeMarquis Gates","CHI","LB","1573","FA","27","MIN 29<br/>@CHI 13 F","500,000","1st","0","14","0%","0","0","0","0"
"*044em*","Warren Gatewood","(N/A)","DB","2968","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02a63*","Stafford Gatling","(N/A)","TE,LB","2970","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ogq*","Rashaan Gaulden","(N/A)","DB","2971","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040re*","Quentin Gause","(N/A)","LB","2972","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*002q7*","William Gay","(N/A)","DB","2973","FA","38","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jh2*","Joe Gaziano","LAC","DL","1098","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","0","14","0%","0","0","0","0"
"*04iyh*","Austin Gearing","(N/A)","DL,LB","2974","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ok7*","Clayton Geathers","(N/A)","DB","2975","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ce5*","Ben Gedeon","(N/A)","LB","2976","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0616d*","Jeremiah Gemmel","(N/A)","LB","2978","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061dr*","Allan George","CIN","DB","1492","FA","23","Bye","500,000","1st","0","10","0%","1","0","0","0"
"*03ch0*","Jeremiah George","(N/A)","LB","2980","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061gy*","Kenneth George","(N/A)","DB","2981","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cg5*","Nathan Gerry","WAS","LB","2984","FA","28","DAL 6<br/>@WAS 26 F","500,000","1st","0","14","0%","2","0","0","0"
"*0618a*","Jack Gibbens","TEN","LB","899","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","0","6","0%","0","0","0","0"
"*040ub*","Deonte Gibson","TB","DL","2985","FA","30","TB 17<br/>@ATL 30 F","500,000","1st","0","11","0%","0","0","0","0"
"*013yy*","Wallace Gilberry","(N/A)","DL","2987","FA","38","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cpv*","Jimmie Gilbert","(N/A)","LB","2990","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ccr*","Justin Gilbert","(N/A)","DB","2991","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05ucl*","Mark Gilbert","PIT","DB","2992","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","0","9","0%","0","0","0","0"
"*040sv*","Reggie Gilbert","(N/A)","LB","2993","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061cw*","Zyon Gilbert","NYG","DB","1080","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","0","9","0%","0","0","0","0"
"*04czc*","Kennan Gilchrist","(N/A)","LB","2994","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*026u1*","Marcus Gilchrist","BAL","DB","2995","FA","34","Bye","500,000","1st","0","10","0%","0","0","0","0"
"*05jt4*","Cam Gill","TB","LB","2996","FA","25","TB 17<br/>@ATL 30 F","500,000","1st","0","11","0%","0","0","0","0"
"*05rpf*","Tyree Gillespie","JAX","DB","2997","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","0","11","0%","2","0","0","0"
"*04oqv*","Greg Gilmore","(N/A)","DL","3000","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04om6*","Frank Ginda","(N/A)","LB","3001","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05je3*","Jordan Glasgow","(N/A)","LB","3005","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ceq*","Ryan Glasgow","(N/A)","DL","3006","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04k24*","Tyquwan Glass","(N/A)","DB","3008","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0506j*","Cameron Glenn","(N/A)","DB","3009","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03os6*","Jacoby Glenn","(N/A)","DB","3010","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040pj*","Antonio Glover","(N/A)","DB","3013","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04d00*","Matthew Godin","(N/A)","DL","3014","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cwv*","Randall Goforth","(N/A)","DB","3016","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*045cc*","Jamal Golden","(N/A)","DB","3019","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cpw*","Malik Golden","(N/A)","DB","3020","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02jmh*","Robert Golden","(N/A)","DB","3021","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03oi0*","Eddie Goldman","ATL","DL","3022","FA","29","TB 17<br/>@ATL 30 F","500,000","1st","0","14","0%","0","0","0","0"
"*002uh*","Dashon Goldson","(N/A)","DB","3023","FA","38","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rw1*","Jared Goldwire","(N/A)","DL","3024","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03oik*","Senquez Golson","(N/A)","DB","3025","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0031o*","Kedric Golston","(N/A)","DL","3026","FA","39","Bye","500,000","9th","0","","0%","0","0","0","0"
"*06122*","Cameron Goode","MIA","LB","3028","FA","24","NYJ 6<br/>@MIA 11 F","500,000","1st","0","11","0%","0","0","0","0"
"*02jbo*","Najee Goode","IND","LB","3029","FA","33","HOU 32<br/>@IND 31 F","500,000","1st","0","14","0%","0","0","0","0"
"*0502l*","Ahmad Gooden","(N/A)","LB","3030","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02zud*","Zaviar Gooden","(N/A)","LB","3031","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02zvf*","Malliciah Goodman","(N/A)","DL","3033","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0"
"*060rq*","Mario Goodrich","PHI","DB","3034","FA","23","NYG 16<br/>@PHI 22 F","500,000","1st","0","7","0%","0","0","0","0"
"*040gr*","B.J. Goodson","(N/A)","LB","3035","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ci4*","Demetri Goodson","(N/A)","DB","3036","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0"
"*06191*","Matthew Gotel","(N/A)","DL","3043","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rrm*","Tay Gowan","MIN","DB","3044","FA","25","MIN 29<br/>@CHI 13 F","500,000","1st","0","7","0%","0","0","0","0"
"*04137*","Jarrett Grace","(N/A)","LB","3045","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cne*","Jermaine Grace","(N/A)","LB","3046","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*001hi*","Corey Graham","(N/A)","DB","3049","FA","37","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rrr*","Thomas Graham","CHI/CLE","DB","1349","FA","23","CLE 14<br/>@PIT 28 F","500,000","1st","0","9","0%","5","0","0","0"
"*04d2h*","Tyson Graham","(N/A)","DB","3053","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0614h*","Isaiah Graham-Mobley","CAR","LB","3054","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03orp*","Curtis Grant","(N/A)","LB","3057","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03okh*","Doran Grant","(N/A)","DB","3058","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rv5*","Jovan Grant","(N/A)","DB","3061","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061h0*","Nick Grant","(N/A)","DB","3062","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02ztj*","Dwayne Gratz","(N/A)","DB","3065","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cmj*","Alex Gray","(N/A)","DB","3066","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04dqt*","Daniel Gray","(N/A)","DB","3068","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040vn*","Tyler Gray","(N/A)","LB","3074","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0617t*","Vincent Gray","NO","DB","3075","FA","23","CAR 10<br/>@NO 7 F","500,000","1st","0","14","0%","0","0","0","0"
"*06197*","Allie Green","(N/A)","DB","3080","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04zwf*","Gerri Green","TEN/CHI","DL,LB","3082","FA","27","MIN 29<br/>@CHI 13 F","500,000","1st","0","14","0%","1","0","0","0"
"*04cye*","John Green","(N/A)","DB","3083","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040f3*","T.J. Green","(N/A)","DB","3088","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040qk*","Torrey Green","(N/A)","LB","3090","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02zv1*","Khaseem Greene","(N/A)","LB","3096","FA","34","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061ha*","Mike Greene","TB","DL","3097","FA","23","TB 17<br/>@ATL 30 F","500,000","1st","0","11","0%","0","0","0","0"
"*04orz*","Raven Greene","TB","DB","3098","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0619p*","Nasir Greer","(N/A)","DB","3099","FA","23","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04oor*","Corey Griffin","(N/A)","DB","3105","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jsi*","Frankie Griffin","(N/A)","DB","3106","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0613e*","Michael Griffin","(N/A)","DB","3108","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05rxg*","Olaijah Griffin","NYG","DB","3109","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","0","9","0%","0","0","0","0"
"*04mtb*","Shaquem Griffin","(N/A)","LB","3112","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040sk*","Nicholas Grigsby","(N/A)","LB","3115","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*001cx*","Brent Grimes","(N/A)","DB","3117","FA","39","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ojn*","Geneo Grissom","(N/A)","DL","3121","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03zbe*","Aaron Grymes","(N/A)","DB","3126","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jv1*","Javelin Guidry","ARI/LV/PHI/ATL","DB","3132","FA","24","TB 17<br/>@ATL 30 F","500,000","1st","0","14","0%","4","0","0","0"
"*005di*","Letroy Guion","(N/A)","DL","3134","FA","35","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ozw*","LaDarius Gunter","(N/A)","DB","3136","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*050fq*","Porter Gustin","MIA","LB","3138","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02jcv*","Winston Guy","(N/A)","DB","3139","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03omy*","Obum Gwacham","(N/A)","DL,LB","3140","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*01tlk*","Joe Haden","(N/A)","DB","3142","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061b2*","Devin Hafford","(N/A)","DB","3143","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jt5*","Javon Hagan","(N/A)","DB","3144","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03cdt*","RaShede Hageman","(N/A)","DL","3145","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03p1v*","Jacob Hagen","(N/A)","DB","3146","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03onb*","Bryce Hager","(N/A)","LB","3147","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cfe*","Nate Hairston","ARI","DB","1574","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","0","13","0%","0","0","0","0"
"*0021u*","Tamba Hali","(N/A)","LB","3148","FA","39","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cd2*","Daeshon Hall","(N/A)","DL","3150","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040h8*","Deiondre' Hall","(N/A)","DB","3152","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04osx*","Jason Hall","(N/A)","LB,DB","3154","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*050h3*","Kemon Hall","LAC","DB","1548","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","0","8","0%","0","0","0","0"
"*001jn*","Leon Hall","(N/A)","DB","3157","FA","38","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0503n*","Nate Hall","(N/A)","LB","3159","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ogh*","P.J. Hall","(N/A)","DL","3160","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04osa*","Reggie Hall","(N/A)","DB","3162","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0504b*","Terez Hall","NE","LB","3163","FA","26","Bye","500,000","9th","0","10","0%","0","0","0","0"
"*05jjc*","Tyler Hall","LAR/LV","DB","871","FA","24","KC 31<br/>@LV 13 F","500,000","1st","0","6","0%","0","0","0","0"
"*061g6*","Elijah Hamilton","(N/A)","DB","3166","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0505l*","Javien Hamilton","(N/A)","DB","3167","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03ou6*","Justin Hamilton","(N/A)","DL","3168","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jkk*","Ladarius Hamilton","GB","DL,LB","1575","FA","25","DET 20<br/>@GB 16 F","500,000","1st","0","14","0%","2","0","0","0"
"*04ois*","Shaun Dion Hamilton","(N/A)","LB","3170","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040wx*","Woodrow Hamilton","NYG","DL","3171","FA","30","NYG 16<br/>@PHI 22 F","500,000","1st","0","9","0%","0","0","0","0"
"*04zw5*","Saquan Hampton","NYJ","DB","3176","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04mt2*","Da'Shawn Hand","TEN","DL","3177","FA","27","TEN 16<br/>@JAX 20 F","500,000","1st","0","","0%","1","0","0","0"
"*05jd9*","Harrison Hand","NYG/CHI","DB","1151","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","0","14","0%","0","0","0","0"
"*0617m*","Matt Hankins","ATL","DB","3179","FA","24","TB 17<br/>@ATL 30 F","500,000","1st","0","14","0%","0","0","0","0"
"*050ei*","Terrill Hanks","(N/A)","LB","3180","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04osl*","Micah Hannemann","(N/A)","DB","3181","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*061el*","Aaron Hansford","(N/A)","LB","3185","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03okt*","Marcus Hardison","(N/A)","DL","3189","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0612m*","Daniel Hardy","LAR","LB","1493","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","0","7","0%","0","0","0","0"
"*01tqk*","Greg Hardy","(N/A)","DL","3190","FA","34","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040dy*","Vernon Hargreaves","(N/A)","DB","3193","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cph*","J.D. Harmon","(N/A)","DB","3195","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*03oj8*","Eli Harold","(N/A)","DL,LB","3197","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*06118*","Devin Harper","DAL","LB","3199","FA","24","DAL 6<br/>@WAS 26 F","500,000","1st","0","9","0%","3","0","0","0"
"*04d2b*","Jarrod Harper","(N/A)","DB","3201","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05jui*","Madre Harper","CAR","DB","3202","FA","25","CAR 10<br/>@NO 7 F","500,000","1st","0","9","0%","0","0","0","0"
"*002fm*","Roman Harper","(N/A)","DB","3203","FA","40","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04d2k*","Anthony Harrell","(N/A)","LB","3204","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*056p6*","Ajene Harris","(N/A)","DB","3208","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*05t8y*","Brontae Harris","(N/A)","DB","3210","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0"
"*00340*","Chris Harris","JAX","DB","3212","FA","40","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0504w*","Chuck Harris","(N/A)","DL","3213","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cqo*","Connor Harris","(N/A)","LB","3214","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040s9*","Darien Harris","(N/A)","LB","3215","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04ohp*","Davontae Harris","CHI/TEN","DB","1449","FA","28","TEN 16<br/>@JAX 20 F","500,000","1st","0","6","0%","0","0","0","0"
"*05jun*","De'Jon Harris","WAS","LB","3216","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","0","14","0%","3","0","0","0"
"*040w6*","DeVante Harris","(N/A)","DB","3219","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*050lt*","Deion Harris","(N/A)","DB","3220","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*0504f*","Jeremiah Harris","(N/A)","DL","3225","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cvp*","Najee Harris","(N/A)","LB","3228","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04cl5*","Nigel Harris","(N/A)","LB","3229","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04zwj*","Tim Harris","(N/A)","DB","3231","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04oz8*","Trent Harris","BAL/LV","DL,LB","3233","FA","27","KC 31<br/>@LV 13 F","500,000","9th","0","6","0%","0","0","0","0"
"*04676*","Tylor Harris","(N/A)","DL","3234","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0"
"*040x2*","Vernon Harris","(N/A)","DB","3235","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0"
"*02jkb*","Damon Harrison Sr.","(N/A)","DL","3236","FA","34","Bye","500,000","9th","0","","0%","0","0","0","0"
"*04bju*","Derek Hart","(N/A)","TE,LB","3237","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0"
